dc,atype,period,bidf,instl,isp,nt,mfr
1,8,晚上,0,0,1,1,其他
1,8,下午,0,0,0,1,小米
1,8,晚上,0,1,3,1,华为
1,8,下午,0,0,2,1,华为
1,8,晚上,0,0,3,1,酷派
1,8,上午,0,0,1,1,其他
1,8,晚上,0,0,1,1,小米
1,8,上午,0,0,1,0,三星
1,8,下午,0,1,3,1,其他
1,3,下午,0.000498099,0,0,1,苹果
1,8,上午,0,0,0,1,其他
1,8,下午,0,0,1,1,小米
1,8,晚上,0,0,2,1,小米
1,8,晚上,0,0,1,1,OPPO
1,8,上午,0,0,1,1,小米
1,8,下午,0,0,1,1,小米
1,8,下午,0,0,1,0,其他
1,8,上午,0,0,3,1,其他
1,8,上午,0,0,2,1,华为
1,8,上午,0,0,1,1,三星
1,8,下午,0,0,1,1,vivo
1,8,上午,0,0,1,0,小米
1,8,上午,0,0,2,0,OPPO
1,8,晚上,0,1,0,1,三星
1,8,晚上,0,0,1,1,其他
1,3,晚上,0.000498099,0,0,1,苹果
1,8,上午,0,0,0,1,酷派
1,8,晚上,0,1,0,1,其他
1,8,下午,0,0,1,1,OPPO
1,8,晚上,0,0,1,1,小米
1,8,晚上,0,0,1,1,华为
1,8,晚上,0,0,3,1,OPPO
1,8,上午,0,0,1,1,三星
1,7,晚上,8E-04,0,3,1,华为
1,8,上午,0,0,1,1,华为
1,8,晚上,0,0,1,1,小米
1,8,晚上,0,0,2,1,酷派
1,8,下午,0,0,1,1,华为
1,8,下午,0,0,1,1,华为
1,8,上午,0,0,3,1,华为
1,8,晚上,0,0,3,1,其他
1,8,晚上,0,0,1,1,三星
1,8,上午,0,0,1,1,华为
1,8,晚上,0,0,1,1,金立
1,8,下午,0,0,0,1,苹果
1,8,晚上,0,0,1,1,OPPO
1,8,晚上,0,1,3,1,三星
1,8,下午,0,0,1,1,OPPO
1,8,晚上,0,0,2,1,其他
1,7,上午,8E-04,0,1,1,其他
1,8,上午,0,0,3,1,小米
1,8,上午,0,0,1,1,小米
1,8,上午,0,0,1,1,小米
1,8,上午,0,0,2,1,三星
1,8,晚上,0,0,1,1,vivo
1,8,下午,0,0,1,1,OPPO
1,8,上午,0,0,2,1,小米
1,8,下午,0,0,1,1,vivo
1,8,上午,0,0,3,1,OPPO
1,8,晚上,0,0,1,1,OPPO
1,8,下午,0,0,1,1,小米
1,8,下午,0,0,1,1,vivo
1,8,下午,0,0,1,1,小米
1,8,上午,0,0,3,1,三星
1,8,晚上,0,0,1,1,魅族
1,8,上午,0,0,1,1,三星
1,7,晚上,8E-04,0,3,1,OPPO
1,8,下午,0,0,1,0,其他
1,8,上午,0,0,1,1,华为
1,8,上午,0,0,3,0,OPPO
1,8,下午,0,0,1,1,小米
1,8,下午,0,0,3,1,酷派
1,8,下午,0,0,1,0,小米
1,8,晚上,0,0,0,1,小米
1,8,下午,0,0,1,1,华为
1,8,上午,0,0,3,1,酷派
1,8,下午,0,0,1,1,其他
1,8,晚上,0,0,2,1,三星
1,8,上午,0,0,2,1,vivo
1,8,下午,0,0,3,1,其他
1,8,晚上,0,0,1,1,OPPO
1,8,下午,0,0,1,1,OPPO
1,8,下午,0,0,2,1,vivo
1,13,下午,0.002,0,1,0,苹果
1,8,上午,0,0,3,1,其他
1,8,下午,0,0,1,1,其他
1,13,上午,7E-04,0,1,1,其他
1,3,下午,0.000498099,0,0,1,OPPO
1,8,下午,0,0,0,1,金立
1,8,晚上,0,0,1,1,小米
1,8,晚上,0,0,1,1,OPPO
1,8,上午,0,0,1,1,小米
1,8,晚上,0,0,3,1,魅族
1,8,上午,0,0,1,1,华为
1,8,下午,0,0,1,1,其他
1,8,下午,0,1,1,1,小米
1,8,下午,0,0,1,1,OPPO
1,8,下午,0,0,1,1,vivo
1,8,上午,0,0,1,1,其他
1,8,晚上,0,0,3,0,华为
1,8,下午,0,0,0,0,三星
1,8,上午,0,0,1,1,其他
1,8,上午,0,1,1,0,其他
1,8,晚上,0,0,1,1,vivo
1,8,晚上,0,0,3,1,三星
1,8,上午,0,0,1,1,其他
1,3,下午,0.000498099,0,0,1,苹果
1,8,晚上,0,0,1,1,vivo
1,8,晚上,0,0,1,0,小米
1,8,晚上,0,0,1,1,vivo
1,8,下午,0,1,1,1,其他
1,8,下午,0,0,1,1,其他
1,8,上午,0,0,1,1,OPPO
1,13,下午,7E-04,0,1,1,OPPO
1,8,上午,0,0,2,0,小米
1,7,上午,0.00104,0,2,1,其他
1,3,下午,0.00142314,0,0,1,苹果
1,8,上午,0,0,1,1,酷派
1,13,上午,0.002,0,1,0,苹果
1,8,上午,0,0,1,1,华为
1,8,上午,0,0,0,1,其他
1,8,下午,0,0,1,1,小米
1,3,下午,0.000498099,0,0,1,苹果
1,8,上午,0,0,1,0,其他
1,8,上午,0,0,1,1,小米
1,8,晚上,0,0,1,1,OPPO
1,8,晚上,0,0,1,1,vivo
1,8,下午,0,0,0,1,小米
1,8,上午,0,0,1,1,小米
1,8,晚上,0,0,2,1,三星
1,8,晚上,0,0,1,1,华为
1,8,下午,0,0,2,0,OPPO
1,8,上午,0,0,1,0,华为
1,8,下午,0,0,0,1,其他
1,8,上午,0,0,1,1,小米
1,8,上午,0,0,1,1,其他
1,8,晚上,0,1,2,1,vivo
1,8,上午,0,0,1,0,vivo
1,8,晚上,0,0,1,1,华为
1,7,上午,8E-04,0,3,1,金立
1,8,上午,0,0,2,1,小米
1,8,晚上,0,0,3,0,华为
1,8,晚上,0,0,3,1,小米
1,8,晚上,0,0,1,1,小米
1,8,下午,0,0,2,1,华为
1,8,晚上,0,1,1,1,酷派
1,8,晚上,0,0,1,1,小米
1,8,上午,0,0,1,1,小米
1,8,下午,0,0,1,1,vivo
1,8,上午,0,0,2,1,小米
1,3,下午,0.000498099,1,0,1,华为
1,8,晚上,0,0,0,1,其他
1,8,晚上,0,0,1,0,OPPO
1,8,晚上,0,0,1,1,其他
1,8,晚上,0,1,0,1,其他
1,13,下午,7E-04,0,1,1,华为
1,8,晚上,0,0,0,1,华为
1,8,下午,0,0,1,1,魅族
1,8,下午,0,0,3,1,OPPO
1,8,下午,0,0,0,1,其他
1,8,晚上,0,0,0,1,华为
1,8,晚上,0,0,1,0,魅族
1,8,晚上,0,0,1,1,三星
1,7,晚上,6E-04,0,1,5,vivo
1,8,下午,0,0,1,0,华为
1,8,下午,0,1,3,0,其他
1,13,晚上,0.002,0,1,0,苹果
1,8,晚上,0,0,1,1,酷派
1,8,晚上,0,0,1,1,OPPO
1,8,下午,0,0,1,1,OPPO
1,8,上午,0,0,1,1,三星
1,8,下午,0,0,1,1,三星
1,7,上午,6E-04,0,1,5,vivo
1,8,下午,0,0,1,1,魅族
1,8,晚上,0,0,1,1,其他
1,8,下午,0,0,1,1,三星
1,8,晚上,0,0,1,1,vivo
1,8,下午,0,0,0,1,华为
1,8,晚上,0,1,1,1,vivo
1,8,晚上,0,0,1,1,其他
1,8,晚上,0,0,1,1,小米
1,8,下午,0,1,2,0,其他
1,8,上午,0,0,3,0,三星
1,8,下午,0,0,3,1,魅族
1,13,上午,0.002,0,1,0,苹果
1,8,晚上,0,0,1,1,小米
1,8,下午,0,0,1,0,小米
1,13,下午,0.002,0,1,0,苹果
1,8,晚上,0,0,1,1,vivo
1,8,下午,0,1,1,0,其他
1,8,上午,0,0,1,1,其他
1,8,下午,0,0,1,1,OPPO
1,8,晚上,0,0,1,0,小米
1,8,下午,0,0,1,1,vivo
1,8,下午,0,0,1,1,小米
1,8,晚上,0,0,1,1,小米
1,8,晚上,0,0,0,1,其他
1,8,上午,0,0,1,1,其他
1,8,下午,0,0,1,0,魅族
1,8,上午,0,0,0,0,华为
1,8,晚上,0,1,1,0,其他
1,3,上午,0.00142314,0,0,1,苹果
1,8,晚上,0,1,1,1,其他
1,3,晚上,0.000498099,0,0,1,其他
1,8,晚上,0,0,0,1,其他
1,8,下午,0,0,1,0,其他
1,8,下午,0,0,1,1,华为
1,8,晚上,0,0,3,1,华为
1,3,晚上,0.00142314,0,0,1,苹果
1,8,下午,0,0,1,1,小米
1,8,晚上,0,0,1,1,OPPO
1,8,上午,0,0,1,0,三星
1,7,下午,6E-04,0,2,1,其他
1,8,下午,0,0,1,1,三星
1,8,上午,0,0,1,1,三星
1,8,晚上,0,1,1,1,OPPO
1,8,晚上,0,0,1,1,三星
1,8,晚上,0,0,0,1,小米
1,8,下午,0,0,1,1,三星
1,8,下午,0,0,1,0,酷派
1,8,下午,0,1,1,1,其他
1,8,晚上,0,0,2,1,三星
1,8,上午,0,0,1,1,金立
1,8,下午,0,0,2,0,vivo
1,8,上午,0,0,0,1,其他
1,8,下午,0,1,1,1,OPPO
1,8,下午,0,0,1,1,金立
1,8,晚上,0,0,2,0,其他
1,8,下午,0,0,1,0,华为
1,3,下午,0.000498099,1,0,1,小米
1,8,上午,0,0,2,0,酷派
1,8,晚上,0,0,1,0,其他
1,8,下午,0,0,3,1,三星
1,8,上午,0,0,0,1,vivo
1,8,下午,0,0,1,1,其他
1,8,晚上,0,0,1,1,其他
1,8,下午,0,1,1,0,其他
1,8,上午,0,0,1,1,华为
1,8,上午,0,0,1,1,vivo
1,13,晚上,0.002,0,1,0,苹果
1,8,晚上,0,0,1,1,OPPO
1,8,晚上,0,0,1,1,三星
1,8,晚上,0,1,1,0,其他
1,8,晚上,0,0,1,0,OPPO
1,8,晚上,0,0,2,1,华为
1,8,晚上,0,0,1,1,OPPO
1,8,晚上,0,0,1,0,华为
1,8,晚上,0,0,1,1,金立
1,8,下午,0,0,1,1,其他
1,8,上午,0,0,1,1,华为
1,8,下午,0,0,3,0,vivo
1,8,晚上,0,0,1,1,其他
1,3,上午,0.000498099,0,0,1,苹果
1,8,上午,0,0,1,1,其他
1,8,下午,0,1,1,1,小米
1,8,上午,0,0,1,1,其他
1,8,下午,0,0,0,1,其他
1,8,晚上,0,0,2,0,三星
1,8,晚上,0,1,0,1,其他
1,8,上午,0,0,3,1,华为
1,8,下午,0,0,1,1,三星
1,8,下午,0,0,1,1,华为
1,8,上午,0,0,1,1,vivo
1,8,上午,0,0,2,1,三星
1,8,上午,0,1,1,0,其他
1,8,晚上,0,0,1,0,魅族
1,8,晚上,0,0,1,1,其他
1,8,上午,0,0,1,1,OPPO
1,8,晚上,0,0,1,1,华为
1,8,上午,0,0,1,1,vivo
1,8,晚上,0,0,3,1,魅族
1,8,晚上,0,0,0,1,小米
1,8,下午,0,0,1,1,vivo
1,8,晚上,0,0,1,1,OPPO
1,8,下午,0,0,1,1,vivo
1,8,晚上,0,0,1,1,酷派
1,8,晚上,0,0,2,1,华为
1,8,晚上,0,1,0,1,其他
1,8,晚上,0,0,1,1,三星
1,8,下午,0,0,1,1,vivo
1,8,下午,0,0,2,0,小米
1,8,晚上,0,0,2,1,OPPO
1,13,晚上,0.003,1,1,1,小米
1,3,下午,0.000498099,0,0,1,苹果
1,8,上午,0,0,2,1,小米
1,8,下午,0,0,1,1,其他
1,8,晚上,0,0,3,1,其他
1,8,下午,0,0,3,1,华为
1,8,下午,0,0,1,0,小米
1,8,下午,0,0,1,1,其他
1,8,晚上,0,0,1,1,vivo
1,8,晚上,0,1,0,1,其他
1,8,晚上,0,0,1,1,三星
1,8,上午,0,0,2,1,小米
1,8,下午,0,0,1,1,小米
1,8,上午,0,1,0,1,其他
1,8,下午,0,0,1,1,小米
1,7,晚上,8E-04,0,1,1,其他
1,8,晚上,0,0,1,1,其他
1,8,上午,0,0,1,1,小米
1,8,下午,0,0,3,1,酷派
1,8,晚上,0,0,2,1,三星
1,8,下午,0,0,2,1,vivo
1,8,下午,0,0,1,0,华为
1,8,上午,0,0,1,1,小米
1,8,下午,0,0,1,1,三星
1,8,下午,0,0,1,1,三星
1,8,下午,0,0,3,1,vivo
1,8,下午,0,0,1,0,其他
1,8,下午,0,0,1,1,vivo
1,8,下午,0,0,1,1,小米
1,8,上午,0,0,1,0,其他
1,8,上午,0,1,0,1,vivo
1,3,上午,0.000498099,0,0,1,其他
1,8,上午,0,0,1,1,小米
1,8,下午,0,0,1,1,小米
1,8,下午,0,0,1,1,小米
1,8,晚上,0,0,0,1,其他
1,8,晚上,0,0,1,1,华为
1,8,上午,0,0,2,0,其他
1,8,晚上,0,0,1,1,其他
1,8,晚上,0,0,1,1,OPPO
1,8,晚上,0,0,1,1,vivo
1,8,下午,0,0,2,0,OPPO
1,8,下午,0,0,1,0,vivo
1,8,上午,0,0,1,1,vivo
1,8,晚上,0,0,1,1,vivo
1,8,下午,0,1,1,0,酷派
1,8,下午,0,0,1,1,魅族
1,8,上午,0,0,0,1,三星
1,8,晚上,0,0,1,0,vivo
1,8,下午,0,0,1,1,vivo
1,8,上午,0,0,1,0,华为
1,8,下午,0,0,3,0,华为
1,8,上午,0,0,1,1,OPPO
1,8,下午,0,0,1,0,其他
1,8,下午,0,0,2,1,酷派
1,8,下午,0,0,0,1,魅族
1,8,上午,0,0,2,1,OPPO
1,8,上午,0,0,2,1,小米
1,8,晚上,0,0,1,0,小米
1,8,下午,0,0,2,1,华为
1,3,晚上,0.000498099,0,0,1,苹果
1,8,晚上,0,0,3,1,三星
1,8,上午,0,1,1,0,其他
1,8,上午,0,0,0,1,三星
1,8,上午,0,0,2,1,三星
1,8,下午,0,0,1,1,华为
1,8,上午,0,0,1,0,其他
1,8,下午,0,0,0,1,华为
1,7,下午,5E-04,0,0,1,酷派
1,8,晚上,0,0,1,1,小米
1,3,下午,0.000498099,0,0,1,苹果
1,8,晚上,0,1,1,0,OPPO
1,8,晚上,0,1,0,1,OPPO
1,8,上午,0,0,0,1,其他
1,8,上午,0,0,1,1,魅族
1,13,晚上,0.0014,0,1,0,vivo
1,8,下午,0,0,1,1,vivo
1,8,上午,0,0,1,1,三星
1,8,上午,0,0,2,1,小米
1,8,晚上,0,0,1,1,OPPO
1,8,下午,0,0,1,0,小米
1,7,下午,8E-04,0,0,5,华为
1,8,下午,0,0,2,0,小米
1,8,下午,0,0,3,1,其他
1,8,晚上,0,0,1,1,其他
1,8,下午,0,0,2,1,酷派
1,8,上午,0,0,1,1,三星
1,8,上午,0,1,1,0,其他
1,8,上午,0,1,0,1,酷派
1,8,上午,0,0,0,1,酷派
1,8,下午,0,0,1,1,魅族
1,8,晚上,0,0,1,1,小米
1,8,下午,0,0,0,1,酷派
1,8,晚上,0,0,3,1,OPPO
1,8,下午,0,0,0,1,华为
1,8,晚上,0,0,2,1,酷派
1,8,上午,0,0,1,1,小米
1,8,晚上,0,0,0,1,其他
1,8,上午,0,0,1,1,三星
1,8,晚上,0,0,0,1,小米
1,8,下午,0,0,1,0,其他
1,8,下午,0,0,0,1,华为
1,8,晚上,0,0,1,1,华为
1,7,上午,8E-04,0,1,1,OPPO
1,8,下午,0,0,1,1,vivo
1,8,晚上,0,0,0,1,华为
1,8,上午,0,0,1,1,三星
1,8,上午,0,0,1,0,其他
1,8,下午,0,0,1,1,vivo
1,8,上午,0,0,1,1,三星
1,13,上午,7E-04,0,1,1,魅族
1,8,下午,0,0,2,1,三星
1,8,晚上,0,0,0,1,魅族
1,8,上午,0,1,1,1,vivo
1,8,下午,0,0,2,1,小米
1,8,下午,0,1,2,1,三星
1,8,下午,0,0,1,1,金立
1,8,晚上,0,0,1,1,华为
1,8,上午,0,0,1,1,小米
1,8,晚上,0,0,1,1,其他
1,8,晚上,0,0,0,1,小米
1,8,下午,0,0,1,1,OPPO
1,8,晚上,0,0,1,1,OPPO
1,8,晚上,0,0,1,1,华为
1,7,下午,8E-04,0,1,1,其他
1,8,下午,0,0,3,0,华为
1,8,下午,0,0,1,1,其他
1,8,上午,0,0,1,1,vivo
1,8,晚上,0,0,1,1,其他
1,3,上午,0.000498099,1,0,1,其他
1,8,下午,0,0,1,1,OPPO
1,8,下午,0,0,1,1,华为
1,8,晚上,0,0,0,1,OPPO
1,8,下午,0,0,2,1,OPPO
1,8,上午,0,0,1,1,其他
1,8,下午,0,1,1,1,其他
1,8,下午,0,0,0,1,小米
1,8,下午,0,0,1,1,其他
1,8,下午,0,0,3,1,三星
1,8,下午,0,0,1,0,其他
1,13,下午,0.002,0,1,0,苹果
1,13,上午,7E-04,0,1,1,OPPO
1,8,上午,0,0,1,0,三星
1,8,上午,0,0,1,0,酷派
1,8,下午,0,0,3,1,小米
1,8,晚上,0,0,3,1,vivo
1,8,下午,0,0,1,1,华为
1,13,上午,0.002,0,1,0,苹果
1,8,下午,0,0,1,1,vivo
1,8,下午,0,0,1,1,OPPO
1,8,下午,0,0,1,0,其他
1,8,上午,0,0,3,1,三星
1,8,下午,0,0,3,1,华为
1,8,上午,0,0,1,0,其他
1,8,上午,0,0,1,1,三星
1,8,下午,0,0,1,0,OPPO
1,8,晚上,0,0,1,1,酷派
1,8,下午,0,0,1,1,OPPO
1,7,晚上,8E-04,0,3,5,OPPO
1,8,下午,0,1,1,1,酷派
1,8,上午,0,0,2,1,华为
1,8,下午,0,0,1,0,其他
1,8,下午,0,0,1,0,OPPO
1,8,下午,0,0,1,1,魅族
1,8,晚上,0,1,1,1,OPPO
1,8,晚上,0,0,1,0,三星
1,8,晚上,0,1,1,1,小米
1,8,上午,0,0,1,0,其他
1,3,下午,0.000498099,1,0,1,三星
1,8,上午,0,0,1,1,OPPO
1,13,下午,0.002,0,1,0,苹果
1,8,下午,0,0,1,1,华为
1,8,晚上,0,0,1,0,小米
1,8,晚上,0,0,1,1,OPPO
1,8,下午,0,0,1,1,三星
1,3,上午,0.00142314,0,0,1,苹果
1,8,晚上,0,1,2,1,vivo
1,8,下午,0,0,1,1,其他
1,8,晚上,0,0,1,1,小米
1,8,上午,0,0,1,1,OPPO
1,8,晚上,0,0,2,0,其他
1,8,下午,0,0,1,0,vivo
1,8,上午,0,0,1,1,其他
1,8,晚上,0,0,0,0,小米
1,8,下午,0,0,1,1,其他
1,8,上午,0,0,3,1,三星
1,8,上午,0,0,0,1,其他
1,8,上午,0,0,1,1,其他
1,13,下午,0.002,0,1,0,苹果
1,13,下午,7E-04,0,2,1,魅族
1,8,晚上,0,0,3,1,vivo
1,7,下午,8E-04,0,1,1,小米
1,8,下午,0,0,1,1,三星
1,7,晚上,0.00078,0,1,5,其他
1,8,下午,0,0,1,1,华为
1,13,上午,0.002,0,1,0,苹果
1,13,晚上,0.002,0,1,0,苹果
1,3,晚上,0.001067355,0,0,1,魅族
1,8,上午,0,0,2,1,其他
1,8,下午,0,0,1,0,魅族
1,8,晚上,0,0,3,1,其他
1,8,下午,0,0,2,0,小米
1,8,晚上,0,0,1,1,三星
1,8,上午,0,0,3,1,小米
1,8,上午,0,0,2,1,vivo
1,8,上午,0,0,1,1,小米
1,8,晚上,0,0,1,1,魅族
1,8,上午,0,0,1,1,vivo
1,3,上午,0.000498099,1,0,1,苹果
1,8,晚上,0,0,3,1,其他
1,8,上午,0,0,1,0,小米
1,8,上午,0,0,3,1,魅族
1,8,晚上,0,0,1,0,小米
1,8,下午,0,1,2,1,OPPO
1,8,下午,0,0,1,1,vivo
1,8,下午,0,0,1,1,vivo
1,8,晚上,0,0,0,1,三星
1,8,晚上,0,0,0,1,酷派
1,8,下午,0,0,1,1,OPPO
1,8,晚上,0,1,3,1,vivo
1,8,下午,0,0,1,1,OPPO
1,8,晚上,0,0,1,1,魅族
1,8,晚上,0,0,1,0,其他
1,8,晚上,0,0,2,1,三星
1,8,下午,0,0,1,1,小米
1,8,晚上,0,0,3,1,vivo
1,8,下午,0,0,3,1,三星
1,8,上午,0,0,1,1,华为
1,3,下午,0.000498099,0,1,1,其他
1,8,下午,0,0,1,1,vivo
1,8,晚上,0,1,0,1,vivo
1,8,上午,0,0,1,1,vivo
1,13,下午,0.002,0,1,0,苹果
1,8,晚上,0,1,3,1,华为
1,8,上午,0,0,3,0,三星
1,8,晚上,0,0,1,1,华为
1,8,晚上,0,1,0,1,其他
1,13,晚上,0.002,0,2,0,三星
1,8,上午,0,0,1,1,三星
1,8,下午,0,0,1,0,其他
1,8,下午,0,0,1,1,OPPO
1,8,上午,0,0,2,1,OPPO
1,8,上午,0,0,1,1,小米
1,8,上午,0,1,1,0,其他
1,7,晚上,6E-04,0,1,5,其他
1,8,晚上,0,0,0,1,vivo
1,8,下午,0,1,1,1,其他
1,8,下午,0,0,1,0,其他
1,8,下午,0,0,1,1,小米
1,8,下午,0,0,1,1,华为
1,8,下午,0,0,1,1,三星
1,3,下午,0.000498099,0,0,1,苹果
1,3,下午,0.000498099,1,0,1,小米
1,8,上午,0,0,1,1,OPPO
1,7,晚上,4E-04,0,3,1,小米
1,8,晚上,0,0,1,1,小米
1,8,下午,0,0,1,1,OPPO
1,8,上午,0,0,1,1,华为
1,3,晚上,0.000498099,0,0,1,苹果
1,8,晚上,0,0,1,1,vivo
1,8,晚上,0,0,0,1,小米
1,8,上午,0,0,1,1,金立
1,8,晚上,0,0,1,3,其他
1,8,晚上,0,0,3,1,三星
1,8,晚上,0,0,1,1,魅族
1,3,上午,0.000498099,0,0,1,苹果
1,8,晚上,0,0,1,1,三星
1,8,晚上,0,1,1,0,其他
1,8,下午,0,0,1,1,魅族
1,8,下午,0,0,2,1,魅族
1,8,下午,0,0,3,1,小米
1,8,下午,0,1,1,0,其他
1,8,下午,0,0,1,1,vivo
1,13,下午,7E-04,0,2,1,三星
1,8,晚上,0,1,1,1,三星
1,8,下午,0,1,2,1,OPPO
1,3,下午,0.000498099,1,1,4,其他
1,8,下午,0,1,1,1,小米
1,8,下午,0,0,1,1,OPPO
1,8,下午,0,0,1,1,其他
1,8,上午,0,0,1,1,vivo
1,8,晚上,0,0,1,1,OPPO
1,8,上午,0,0,1,1,三星
1,13,晚上,8E-04,0,2,1,其他
1,8,下午,0,0,1,1,金立
1,8,下午,0,0,1,1,三星
1,8,晚上,0,0,1,1,三星
1,8,下午,0,0,3,1,小米
1,8,晚上,0,1,1,1,金立
1,8,晚上,0,1,0,1,其他
1,8,上午,0,0,1,1,OPPO
1,8,上午,0,0,0,1,魅族
1,8,晚上,0,0,1,1,其他
1,8,下午,0,0,1,1,华为
1,8,上午,0,0,0,1,魅族
1,8,上午,0,0,1,1,三星
1,8,晚上,0,1,3,1,金立
1,8,晚上,0,0,1,1,小米
1,3,晚上,0.000498099,0,0,1,苹果
1,8,下午,0,0,2,1,vivo
1,8,上午,0,0,1,1,华为
1,3,晚上,0.000498099,0,0,1,苹果
1,3,下午,0.000498099,0,1,0,酷派
1,8,下午,0,0,1,0,三星
1,8,下午,0,0,1,1,华为
1,8,下午,0,0,1,0,小米
1,8,上午,0,0,1,1,华为
1,8,上午,0,0,1,1,OPPO
1,8,下午,0,0,1,1,其他
1,8,下午,0,0,1,1,酷派
1,7,下午,8E-04,0,3,5,小米
1,8,上午,0,0,1,1,酷派
1,8,下午,0,0,1,1,OPPO
1,8,上午,0,0,1,1,其他
1,3,上午,0.000498099,0,0,1,华为
1,8,下午,0,0,1,0,小米
1,8,下午,0,0,1,1,其他
1,8,下午,0,1,0,1,其他
1,8,下午,0,0,1,1,魅族
1,8,晚上,0,0,0,1,酷派
1,8,下午,0,0,1,1,华为
1,8,上午,0,0,1,0,三星
1,8,下午,0,0,1,1,三星
1,8,晚上,0,0,3,1,华为
1,8,上午,0,0,1,1,三星
1,8,下午,0,0,2,0,华为
1,8,晚上,0,0,3,0,三星
1,8,下午,0,0,1,1,小米
1,8,上午,0,0,2,1,vivo
1,8,晚上,0,0,1,1,魅族
1,8,晚上,0,0,3,1,小米
1,8,下午,0,0,1,1,vivo
1,8,下午,0,0,2,1,小米
1,3,下午,0.000498099,0,0,1,vivo
1,8,上午,0,0,0,1,华为
1,8,晚上,0,0,1,1,酷派
1,8,下午,0,0,3,1,三星
1,8,晚上,0,0,2,1,OPPO
1,8,晚上,0,0,3,1,OPPO
1,13,下午,0.002,0,1,0,苹果
1,8,晚上,0,0,1,1,OPPO
1,8,晚上,0,0,1,0,其他
1,8,下午,0,0,1,0,小米
1,8,下午,0,0,1,1,OPPO
1,8,上午,0,0,1,1,酷派
1,8,下午,0,0,1,1,其他
1,8,下午,0,0,0,1,vivo
1,8,上午,0,0,1,1,三星
1,8,晚上,0,0,1,1,华为
1,8,下午,0,1,1,1,华为
1,8,晚上,0,0,1,1,其他
1,8,上午,0,0,0,0,小米
1,8,上午,0,0,1,1,其他
1,8,下午,0,0,1,0,vivo
1,8,上午,0,0,2,1,小米
1,8,下午,0,0,3,1,华为
1,8,下午,0,0,0,1,vivo
1,8,晚上,0,0,3,1,小米
1,8,下午,0,0,3,1,三星
1,8,晚上,0,0,1,1,OPPO
1,8,下午,0,0,1,1,魅族
1,8,晚上,0,0,2,0,vivo
1,8,上午,0,0,1,1,vivo
1,8,晚上,0,0,1,1,vivo
1,13,下午,0.002,0,1,0,苹果
1,8,晚上,0,0,1,1,OPPO
1,8,下午,0,0,2,1,三星
1,8,上午,0,0,1,1,vivo
1,8,下午,0,0,1,0,OPPO
1,3,下午,0.000498099,0,0,1,vivo
1,8,下午,0,1,0,1,其他
1,8,晚上,0,0,1,0,魅族
1,8,上午,0,0,0,1,OPPO
1,8,下午,0,0,0,1,小米
1,8,上午,0,1,1,1,三星
1,8,下午,0,0,2,1,小米
1,8,下午,0,0,2,1,苹果
1,8,下午,0,0,1,1,华为
1,8,晚上,0,0,3,1,三星
1,8,晚上,0,0,1,1,华为
1,7,晚上,8E-04,0,3,3,小米
1,8,下午,0,0,2,0,OPPO
1,13,下午,7E-04,0,1,1,OPPO
1,8,下午,0,0,3,1,小米
1,8,下午,0,0,1,1,vivo
1,8,上午,0,0,1,1,其他
1,8,下午,0,0,1,1,三星
1,8,上午,0,0,1,1,小米
1,3,上午,0.000498099,0,1,1,苹果
1,3,下午,0.000498099,0,1,1,其他
1,8,晚上,0,0,1,1,其他
1,8,晚上,0,0,1,0,小米
